"collection","title","actual_source_path","package_path","extension","size_bytes","subjects","resource_id","resource_type","notes"
"australian-curriculum-v9","curriculum-workbook","source/national-standard/australian-curriculum-v9/curriculum-workbook.xlsx","original-files/source/national-standard/australian-curriculum-v9/curriculum-workbook.xlsx","xlsx","2470129","curriculum-framework","res.national-standard.australian-curriculum-v9.curriculum-workbook.065d6248.document.full.001","national_standard_document","actual_path_verified; document_card_path_match"
"canada-bc-curriculum","en_adst_10_computer-studies_elab","source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_10_computer-studies_elab.docx","original-files/source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_10_computer-studies_elab.docx","docx","107438","computing;curriculum-framework","res.national-standard.canada-bc-curriculum.en-adst-10-computer-studies-elab.29d5a6f3.document.full.001","national_standard_document","actual_path_verified; matched_by_collection_and_filename; original_card_uses_old_canada_bc_path"
"canada-bc-curriculum","en_adst_10_culinary-arts_elab","source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_10_culinary-arts_elab.docx","original-files/source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_10_culinary-arts_elab.docx","docx","122623","computing;arts;curriculum-framework","res.national-standard.canada-bc-curriculum.en-adst-10-culinary-arts-elab.cde7fa9a.document.full.001","national_standard_document","actual_path_verified; matched_by_collection_and_filename; original_card_uses_old_canada_bc_path"
"canada-bc-curriculum","en_adst_10_drafting_elab","source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_10_drafting_elab.docx","original-files/source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_10_drafting_elab.docx","docx","104729","computing;curriculum-framework","res.national-standard.canada-bc-curriculum.en-adst-10-drafting-elab.186551e2.document.full.001","national_standard_document","actual_path_verified; matched_by_collection_and_filename; original_card_uses_old_canada_bc_path"
"canada-bc-curriculum","en_adst_10_electronics-and-robotics_elab","source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_10_electronics-and-robotics_elab.docx","original-files/source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_10_electronics-and-robotics_elab.docx","docx","122683","computing;curriculum-framework","res.national-standard.canada-bc-curriculum.en-adst-10-electronics-and-robotics-elab.fa6548c2.document.full.001","national_standard_document","actual_path_verified; matched_by_collection_and_filename; original_card_uses_old_canada_bc_path"
"canada-bc-curriculum","en_adst_10_entrepreneurship-and-marketing_elab","source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_10_entrepreneurship-and-marketing_elab.docx","original-files/source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_10_entrepreneurship-and-marketing_elab.docx","docx","123385","computing;curriculum-framework","res.national-standard.canada-bc-curriculum.en-adst-10-entrepreneurship-and-marketing-elab.0d2cb4af.document.full.001","national_standard_document","actual_path_verified; matched_by_collection_and_filename; original_card_uses_old_canada_bc_path"
"canada-bc-curriculum","en_adst_10_family-and-society_elab","source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_10_family-and-society_elab.docx","original-files/source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_10_family-and-society_elab.docx","docx","124282","computing;curriculum-framework","res.national-standard.canada-bc-curriculum.en-adst-10-family-and-society-elab.e64a27ae.document.full.001","national_standard_document","actual_path_verified; matched_by_collection_and_filename; original_card_uses_old_canada_bc_path"
"canada-bc-curriculum","en_adst_10_food-studies_elab","source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_10_food-studies_elab.docx","original-files/source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_10_food-studies_elab.docx","docx","122361","computing;curriculum-framework","res.national-standard.canada-bc-curriculum.en-adst-10-food-studies-elab.0ed10148.document.full.001","national_standard_document","actual_path_verified; matched_by_collection_and_filename; original_card_uses_old_canada_bc_path"
"canada-bc-curriculum","en_adst_10_media-design_elab","source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_10_media-design_elab.docx","original-files/source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_10_media-design_elab.docx","docx","123907","computing;curriculum-framework","res.national-standard.canada-bc-curriculum.en-adst-10-media-design-elab.8d136d56.document.full.001","national_standard_document","actual_path_verified; matched_by_collection_and_filename; original_card_uses_old_canada_bc_path"
"canada-bc-curriculum","en_adst_10_metalwork_elab","source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_10_metalwork_elab.docx","original-files/source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_10_metalwork_elab.docx","docx","105167","computing;curriculum-framework","res.national-standard.canada-bc-curriculum.en-adst-10-metalwork-elab.8e484e81.document.full.001","national_standard_document","actual_path_verified; matched_by_collection_and_filename; original_card_uses_old_canada_bc_path"
